name,sites,lnL,parameters,subsets,aic,aicc,bic
start_scheme,6387,-161509.76,370,14,323759.53,323805.16,326261.47
step_1,6387,-161482.47,349,13,323662.94,323703.40,326022.88
step_2,6387,-161461.32,328,12,323578.64,323614.26,325796.58
step_3,6387,-161441.74,307,11,323497.48,323528.58,325573.42
step_4,6387,-161438.57,285,10,323447.15,323473.87,325374.32
step_5,6387,-161433.48,264,9,323394.96,323417.82,325180.14
step_6,6387,-161438.97,242,8,323361.95,323381.09,324998.36
step_7,6387,-161459.58,222,7,323363.15,323379.21,324864.32
